"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116809609","15126","21 Apr 2023 08:12","1820","30:20","Team A","SPAWN Team","Crystal Maiden  Templar Assassin  Brewmaster  Tusk  Primal Beast","Made in Philippines","Morphling  Clockwerk  Doom  Rubick  Earth Spirit","Team B"
"7117681788","15088","21 Apr 2023 04:27","3604","1:00:04","Team B","Ancient Tribe","Viper  Chen  Slark  Snapfire  Primal Beast","Alliance","Morphling  Zeus  Jakiro  Rubick  Centaur Warrunner","Team A"
"7117906782","15088","21 Apr 2023 06:08","2499","41:39","Team B","ITB.Shuffle","Mirana  Clockwerk  Ancient Apparition  Terrorblade  Primal Beast","IVY","Morphling  Windranger  Queen of Pain  Enchantress  Doom","Team A"
"7119094414","14691","22 Apr 2023 10:03","2188","36:28","Team A","HAVU","Mirana  Phantom Lancer  Lich  Night Stalker  Ember Spirit","Ionut Cercel","Morphling  Necrophos  Beastmaster  Rubick  Io","Team B"
"7119155871","15128","22 Apr 2023 10:42","2915","48:35","Team A","Hashtag.Reaper","Lion  Queen of Pain  Enchantress  Slark  Legion Commander","UD VESSUWAN","Morphling  Bounty Hunter  Doom  Disruptor  Pangolier","Team B"
"7120859639","15126","23 Apr 2023 07:00","1430","23:50","Team B","Made in Philippines","Luna  Bounty Hunter  Doom  Ember Spirit  Oracle","IHC","Morphling  Nature's Prophet  Batrider  Tusk  Skywrath Mage","Team A"
"7121126014","15128","23 Apr 2023 10:44","2164","36:04","Team A","UD VESSUWAN","Anti-Mage  Mirana  Enchantress  Lycan  Ember Spirit","We Own","Morphling  Clockwerk  Slark  Snapfire  Primal Beast","Team B"
"7121313738","15196","23 Apr 2023 12:55","1921","32:01","Team A","Gaimin Gladiators","Dragon Knight  Enchantress  Ursa  Rubick  Centaur Warrunner","Shopify Rebellion","Morphling  Riki  Death Prophet  Chen  Underlord","Team A"
"7122859797","15128","24 Apr 2023 10:02","2264","37:44","Team B","Manta Esports","Tiny  Beastmaster  Bounty Hunter  Rubick  Monkey King","UD VESSUWAN","Morphling  Puck  Chen  Timbersaw  Tusk","Team B"
"7125130908","14691","25 Apr 2023 06:11","2294","38:14","Team B","Please dont gank my carry","Alchemist  Timbersaw  Techies  Phoenix  Pangolier","Luna Galaxy","Mirana  Morphling  Bounty Hunter  Doom  Nyx Assassin","Team A"
"7126512031","15251","26 Apr 2023 05:21","2085","34:45","Team B","OG","Beastmaster  Venomancer  Slark  Phoenix  Void Spirit","Team SMG","Morphling  Leshrac  Undying  Rubick  Muerta","Team A"
"7126848955","15251","26 Apr 2023 09:19","2148","35:48","Team B","Tundra Esports","Storm Spirit  Bounty Hunter  Keeper of the Light  Underlord  Terrorblade","INVICTUS GAMING","Morphling  Shadow Fiend  Nyx Assassin  Io  Primal Beast","Team A"
"7127545248","14691","27 Apr 2023 01:04","1989","33:09","Team A","Luna Galaxy","Lich  Bounty Hunter  Slark  Timbersaw  Void Spirit","KZ TEAM","Morphling  Storm Spirit  Beastmaster  Clockwerk  Nyx Assassin","Team A"
"7128195080","15251","27 Apr 2023 08:15","2485","41:25","Team B","Xtreme Gaming","Storm Spirit  Pugna  Alchemist  Brewmaster  Phoenix","Team SMG","Crystal Maiden  Mirana  Morphling  Kunkka  Centaur Warrunner","Team A"
"7129384529","15251","28 Apr 2023 05:27","1656","27:36","Team B","OG","Crystal Maiden  Necrophos  Ursa  Alchemist  Keeper of the Light","INVICTUS GAMING","Morphling  Tiny  Chen  Timbersaw  Ember Spirit","Team A"
"7129627261","15251","28 Apr 2023 07:57","1546","25:46","Team B","Talon","Dark Seer  Alchemist  Disruptor  Naga Siren  Techies","Team SMG","Morphling  Tiny  Doom  Rubick  Skywrath Mage","Team A"
"7130539747","15251","29 Apr 2023 12:00","2517","41:57","Team A","PSG.LGD","Beastmaster  Alchemist  Medusa  Elder Titan  Hoodwink","Team Liquid","Morphling  Enchantress  Rubick  Underlord  Monkey King","Team A"
"7130614400","15251","29 Apr 2023 01:06","2398","39:58","Team A","9Pandas","Crystal Maiden  Riki  Templar Assassin  Rubick  Underlord","Evil Geniuses","Morphling  Kunkka  Clockwerk  Enchantress  Doom","Team A"
"7142123827","15251","06 May 2023 08:35","1987","33:07","Team B","Team Liquid","Mirana  Beastmaster  Luna  Ember Spirit  Oracle","Evil Geniuses","Crystal Maiden  Morphling  Storm Spirit  Pugna  Underlord","Team A"
"7144158066","15268","07 May 2023 11:19","1131","18:51","Team B","Vivo Keyd Stars","Storm Spirit  Pugna  Techies  Underlord  Monkey King","Mad Kings Esports","Morphling  Dragon Knight  Disruptor  Keeper of the Light  Ember Spirit","Team A"
"7150429163","15128","12 May 2023 06:43","1684","28:04","Team B","Outsider From CN","Queen of Pain  Faceless Void  Doom  Ogre Magi  Keeper of the Light","MIRACLE ESPORT","Morphling  Zeus  Clockwerk  Rubick  Nyx Assassin","Team B"
"7156055428","15351","15 May 2023 05:56","2838","47:18","Team A","Gaimin Gladiators","Mirana  Bounty Hunter  Doom  Ember Spirit  Terrorblade","Quest Esports","Morphling  Tidehunter  Silencer  Keeper of the Light  Pangolier","Team A"
"7156165506","15351","15 May 2023 07:11","2453","40:53","Team A","Gaimin Gladiators","Skywrath Mage  Underlord  Terrorblade  Void Spirit  Snapfire","Quest Esports","Morphling  Tiny  Doom  Techies  Phoenix","Team B"
"7156674835","15385","16 May 2023 05:59","2209","36:49","Team A","iG.Vitality","Lich  Dragon Knight  Doom  Terrorblade  Hoodwink","dldfans","Morphling  Queen of Pain  Undying  Rubick  Centaur Warrunner","Team B"
"7159062184","15351","17 May 2023 08:56","3413","56:53","Team A","OG","Venomancer  Invoker  Naga Siren  Elder Titan  Earth Spirit","Quest Esports","Morphling  Omniknight  Shadow Demon  Techies  Mars","Team A"
"7159158919","15351","17 May 2023 10:25","3496","58:16","Team B","Quest Esports","Razor  Spirit Breaker  Magnus  Phoenix  Void Spirit","OG","Morphling  Windranger  Venomancer  Techies  Snapfire","Team A"
"7159716062","14691","18 May 2023 12:26","2149","35:49","Team B","Unity Esports","Beastmaster  Undying  Medusa  Skywrath Mage  Void Spirit","Gen of Miracles","Crystal Maiden  Morphling  Queen of Pain  Legion Commander  Techies","Team A"
"7159745896","15335","18 May 2023 01:00","1574","26:14","Team B","UALEIKUMNIHAO","Venomancer  Spirit Breaker  Skywrath Mage  Ember Spirit  Terrorblade","Nemiga Gaming","Morphling  Batrider  Doom  Rubick  Techies","Team B"
"7159782438","14691","18 May 2023 01:33","3795","1:03:15","Team B","Ancient Tribe","Juggernaut  Viper  Spirit Breaker  Disruptor  Underlord","RAM SQUAD","Morphling  Windranger  Undying  Techies  Mars","Team A"
"7160281993","15365","18 May 2023 06:59","1967","32:47","Team A","Mad Kings Esports","Omniknight  Techies  Ember Spirit  Oracle  Monkey King","Infamous Gaming","Mirana  Morphling  Bounty Hunter  Batrider  Dawnbreaker","Team B"
"7161210508","15374","19 May 2023 01:58","1875","31:15","Team A","Execration","Crystal Maiden  Phantom Lancer  Magnus  Ember Spirit  Oracle","Blacklist Rivalry","Morphling  Batrider  Rubick  Techies  Pangolier","Team B"
"7161278710","15333","19 May 2023 02:41","1334","22:14","Team B","Pudge Enjoyers","Juggernaut  Lich  Nyx Assassin  Magnus  Void Spirit","sQreens squad","Morphling  Tiny  Windranger  Disruptor  Pangolier","Team B"
"7161470050","15333","19 May 2023 04:36","1055","17:35","Team B","Sibe Team","Storm Spirit  Pugna  Templar Assassin  Enchantress  Doom","NoTinker","Morphling  Clinkz  Spirit Breaker  Grimstroke  Void Spirit","Team A"
"7162485938","15383","20 May 2023 09:07","3411","56:51","Team B","Team Bright","Bounty Hunter  Spirit Breaker  Undying  Medusa  Ember Spirit","INVICTUS GAMING","Morphling  Doom  Keeper of the Light  Oracle  Pangolier","Team A"
"7163136982","15335","20 May 2023 05:01","3256","54:16","Team B","One Move","Crystal Maiden  Puck  Sven  Dark Seer  Spirit Breaker","Nemiga Gaming","Morphling  Disruptor  Magnus  Techies  Pangolier","Team B"
"7163987741","15383","21 May 2023 06:10","1711","28:31","Team A","Xtreme Gaming","Crystal Maiden  Puck  Doom  Terrorblade  Phoenix","Team Bright","Mirana  Morphling  Riki  Techies  Ember Spirit","Team A"
"7164591886","15349","21 May 2023 02:10","2749","45:49","Team A","KZ TEAM","Venomancer  Invoker  Naga Siren  Magnus  Earth Spirit","RAM SQUAD","Morphling  Puck  Beastmaster  Undying  Rubick","Team A"
"7165996085","15377","22 May 2023 12:51","2706","45:06","Team B","Rectify","Ancient Apparition  Naga Siren  Timbersaw  Techies  Void Spirit","SPAWN Team","Morphling  Bounty Hunter  Skywrath Mage  Legion Commander  Oracle","Team B"
"7166000634","15349","22 May 2023 01:07","3497","58:17","Team A","RAM SQUAD","Sven  Clinkz  Spirit Breaker  Io  Pangolier","Gen of Miracles","Morphling  Clockwerk  Shadow Demon  Centaur Warrunner  Muerta","Team A"
"7166721761","15348","22 May 2023 09:03","1162","19:22","Team A","5meow","Bloodseeker  Crystal Maiden  Leshrac  Spirit Breaker  Oracle","For Fun","Morphling  Disruptor  Techies  Underlord  Winter Wyvern","Team A"
"7168978473","15374","24 May 2023 02:36","2957","49:17","Team B","BLEED","Doom  Silencer  Keeper of the Light  Slark  Ember Spirit","BOOM Esports","Morphling  Death Prophet  Batrider  Undying  Techies","Team A"
"7169278566","15351","24 May 2023 05:32","3438","57:18","Team A","Tundra Esports","Bloodseeker  Silencer  Keeper of the Light  Visage  Timbersaw","Quest Esports","Morphling  Windranger  Techies  Phoenix  Mars","Team A"
"7169411362","15351","24 May 2023 07:07","3210","53:30","Team B","Gaimin Gladiators","Storm Spirit  Beastmaster  Magnus  Techies  Oracle","Entity","Morphling  Puck  Batrider  Doom  Undying","Team B"
"7169626992","15348","24 May 2023 10:02","2508","41:48","Team A","Fart Studios","Dragon Knight  Clockwerk  Clinkz  Batrider  Pangolier","GateKept","Morphling  Disruptor  Legion Commander  Techies  Void Spirit","Team A"
"7169972594","15383","25 May 2023 06:58","1490","24:50","Team A","Team Aster","Mirana  Storm Spirit  Pugna  Spirit Breaker  Muerta","Aster.Aries","Morphling  Puck  Enchantress  Batrider  Silencer","Team A"
"7170762957","15364","25 May 2023 06:05","2491","41:31","Team B","Universitario eSports","Tidehunter  Clinkz  Ancient Apparition  Magnus  Timbersaw","Los moticucos","Morphling  Death Prophet  Spirit Breaker  Techies  Void Spirit","Team B"
"7172211273","15351","26 May 2023 05:54","2556","42:36","Team A","Team Secret","Mirana  Spirit Breaker  Medusa  Oracle  Void Spirit","Entity","Morphling  Dark Seer  Batrider  Shadow Demon  Undying","Team B"
"7172478697","15351","26 May 2023 08:55","1697","28:17","Team A","Luna Galaxy","Doom  Spirit Breaker  Visage  Medusa  Void Spirit","Quest Esports","Mirana  Morphling  Tiny  Silencer  Magnus","Team A"
"7172625564","15351","26 May 2023 10:58","2916","48:36","Team A","Luna Galaxy","Mirana  Dark Seer  Spirit Breaker  Medusa  Void Spirit","Quest Esports","Morphling  Silencer  Timbersaw  Techies  Pangolier","Team A"
"7172754470","15350","27 May 2023 01:51","2635","43:55","Team A","TSM","Bounty Hunter  Batrider  Silencer  Medusa  Void Spirit","nouns","Morphling  Storm Spirit  Spirit Breaker  Keeper of the Light  Techies","Team B"
"7172998058","15383","27 May 2023 07:21","2025","33:45","Team A","PSG.LGD","Doom  Medusa  Skywrath Mage  Ember Spirit  Phoenix","Team Bright","Morphling  Undying  Rubick  Centaur Warrunner  Pangolier","Team A"
"7173384871","15335","27 May 2023 01:00","2146","35:46","Team B","Team Spirit","Batrider  Ember Spirit  Oracle  Monkey King  Dark Willow","Nemiga Gaming","Morphling  Spirit Breaker  Magnus  Skywrath Mage  Pangolier","Team B"
"7173843837","14691","27 May 2023 05:29","2001","33:21","Team B","HAVU","Phantom Lancer  Rubick  Magnus  Oracle  Pangolier","RAM SQUAD","Morphling  Dark Seer  Bounty Hunter  Spirit Breaker  Techies","Team B"
"7174073924","15286","27 May 2023 07:59","2385","39:45","Team B","Balrogs Esports™","Venomancer  Clockwerk  Enchantress  Alchemist  Monkey King","RAM SQUAD","Morphling  Puck  Beastmaster  Spirit Breaker  Techies","Team B"
"7174152761","15350","27 May 2023 08:58","2319","38:39","Team B","felt","Mirana  Windranger  Enigma  Spirit Breaker  Pangolier","nouns","Morphling  Undying  Keeper of the Light  Void Spirit  Primal Beast","Team B"
"7174156278","14691","27 May 2023 08:53","2300","38:20","Team A","Gen of Miracles","Storm Spirit  Windranger  Ogre Magi  Medusa  Winter Wyvern","Ancient Tribe","Morphling  Undying  Magnus  Techies  Ember Spirit","Team B"
"7174243062","15350","27 May 2023 10:04","2024","33:44","Team B","felt","Windranger  Batrider  Spirit Breaker  Naga Siren  Void Spirit","nouns","Morphling  Omniknight  Ogre Magi  Disruptor  Keeper of the Light","Team B"
"7174360474","15350","27 May 2023 11:56","2975","49:35","Team B","SAND KING GÓMEZ","Storm Spirit  Undying  Centaur Warrunner  Techies  Terrorblade","DogChamp","Morphling  Lich  Doom  Skywrath Mage  Void Spirit","Team B"
"7174697496","15383","28 May 2023 07:20","1628","27:08","Team B","INVICTUS GAMING","Faceless Void  Spirit Breaker  Visage  Skywrath Mage  Void Spirit","Aster.Aries","Crystal Maiden  Morphling  Windranger  Magnus  Phoenix","Team A"
"7174911427","15383","28 May 2023 10:27","1868","31:08","Team A","PSG.LGD","Crystal Maiden  Puck  Keeper of the Light  Medusa  Timbersaw","Azure Ray","Morphling  Storm Spirit  Pugna  Doom  Silencer","Team A"
"7175537812","15335","28 May 2023 05:10","1776","29:36","Team B","HYDRA","Crystal Maiden  Beastmaster  Batrider  Rubick  Naga Siren","Team Spirit","Morphling  Chen  Visage  Techies  Void Spirit","Team A"
"7175711152","15286","28 May 2023 07:00","1812","30:12","Team A","Triseum","Windranger  Clinkz  Batrider  Undying  Pangolier","DogChamp","Morphling  Puck  Silencer  Magnus  Techies","Team A"
"7175718914","14691","28 May 2023 07:00","2215","36:55","Team B","IVY","Riki  Enchantress  Magnus  Techies  Void Spirit","RAM SQUAD","Morphling  Pugna  Batrider  Spirit Breaker  Rubick","Team A"
"7176325454","15374","29 May 2023 07:03","2412","40:12","Team A","BOOM Esports","Lich  Brewmaster  Techies  Monkey King  Void Spirit","Army Geniuses Mansion","Morphling  Beastmaster  Faceless Void  Silencer  Keeper of the Light","Team B"
"7176370381","15374","29 May 2023 08:08","3371","56:11","Team A","BOOM Esports","Invoker  Silencer  Rubick  Naga Siren  Magnus","Army Geniuses Mansion","Morphling  Storm Spirit  Spirit Breaker  Techies  Grimstroke","Team B"
"7176456517","15286","29 May 2023 09:59","2900","48:20","Team B","Sibe Team","Bloodseeker  Storm Spirit  Lich  Pugna  Marci","DerzhaWin","Morphling  Bounty Hunter  Magnus  Techies  Ember Spirit","Team A"
"7176645327","14691","29 May 2023 01:03","2024","33:44","Team A","KZ TEAM","Batrider  Undying  Underlord  Terrorblade  Primal Beast","Ancient Tribe","Morphling  Venomancer  Magnus  Techies  Void Spirit","Team B"
"7177858324","15383","30 May 2023 09:00","2417","40:17","Team B","Azure Ray","Undying  Medusa  Magnus  Techies  Void Spirit","Team Bright","Morphling  Doom  Silencer  Shadow Demon  Pangolier","Team B"
"7178476311","15335","30 May 2023 05:10","1845","30:45","Team A","BetBoom Team","Bloodseeker  Templar Assassin  Enchantress  Doom  Oracle","Team Spirit","Morphling  Tidehunter  Lich  Skywrath Mage  Void Spirit","Team A"
"7178644888","14691","30 May 2023 07:01","3010","50:10","Team B","IVY","Axe  Storm Spirit  Riki  Pugna  Spirit Breaker","nouns","Mirana  Morphling  Puck  Nyx Assassin  Techies","Team A"
"7179074431","15365","31 May 2023 03:10","1798","29:58","Team A","Balrogs Esports™","Witch Doctor  Spirit Breaker  Disruptor  Troll Warlord  Legion Commander","beastcoast","Morphling  Necrophos  Batrider  Alchemist  Tusk","Team B"
"7179613836","15374","31 May 2023 02:12","1811","30:11","Team A","BLEED","Enchantress  Naga Siren  Abaddon  Techies  Void Spirit","Army Geniuses Mansion","Morphling  Batrider  Spirit Breaker  Silencer  Magnus","Team A"
"7180139494","14691","31 May 2023 08:00","2064","34:24","Team A","UALEIKUMNIHAO","Mirana  Ancient Apparition  Spirit Breaker  Medusa  Pangolier","RAM SQUAD","Crystal Maiden  Morphling  Storm Spirit  Batrider  Shadow Demon","Team A"
"7180487978","15350","01 Jun 2023 02:55","1926","32:06","Team A","felt","Mirana  Lich  Beastmaster  Magnus  Void Spirit","SAND KING GÓMEZ","Morphling  Storm Spirit  Clockwerk  Rubick  Mars","Team A"
"7180946227","15335","01 Jun 2023 01:00","2736","45:36","Team B","HYDRA","Mirana  Undying  Ember Spirit  Underlord  Terrorblade","9Pandas","Morphling  Windranger  Lich  Magnus  Void Spirit","Team B"
"7180947176","15286","01 Jun 2023 01:00","1949","32:29","Team B","ITB.Shuffle","Bounty Hunter  Batrider  Medusa  Legion Commander  Pangolier","nouns","Bloodseeker  Morphling  Clinkz  Spirit Breaker  Skywrath Mage","Team A"
"7181233918","15286","01 Jun 2023 04:23","1501","25:01","Team A","Moneymakers","Faceless Void  Pugna  Batrider  Magnus  Pangolier","sQreens squad","Morphling  Windranger  Rubick  Medusa  Void Spirit","Team A"
"7181476238","15365","01 Jun 2023 06:59","2839","47:19","Team A","INFINITY","Windranger  Huskar  Spirit Breaker  Techies  Pangolier","Thunder Awaken","Morphling  Bounty Hunter  Magnus  Oracle  Void Spirit","Team B"
"7181484775","15286","01 Jun 2023 07:02","2784","46:24","Team A","Trouble Makers Reborn","Juggernaut  Puck  Skywrath Mage  Legion Commander  Grimstroke","4u4uwara","Morphling  Tiny  Batrider  Magnus  Oracle","Team A"
"7181576621","15286","01 Jun 2023 08:17","3527","58:47","Team A","Trouble Makers Reborn","Jakiro  Batrider  Medusa  Techies  Ember Spirit","4u4uwara","Morphling  Shadow Demon  Magnus  Skywrath Mage  Void Spirit","Team A"
"7181758449","15365","01 Jun 2023 10:57","3105","51:45","Team A","Acatsuki","Crystal Maiden  Queen of Pain  Chaos Knight  Rubick  Magnus","Infamous Gaming","Morphling  Storm Spirit  Treant Protector  Skywrath Mage  Legion Commander","Team A"
"7182345867","15374","02 Jun 2023 01:00","2249","37:29","Team B","Talon","Dark Seer  Silencer  Medusa  Techies  Void Spirit","Execration","Morphling  Shadow Demon  Disruptor  Underlord  Pangolier","Team B"
"7182424959","15286","02 Jun 2023 02:04","1800","30:00","Team A","Nemiga Gaming","Disruptor  Magnus  Skywrath Mage  Pangolier  Void Spirit","RAM SQUAD","Morphling  Puck  Venomancer  Pugna  Spirit Breaker","Team A"
"7182603586","14691","02 Jun 2023 04:04","2743","45:43","Team B","KZ TEAM","Death Prophet  Ursa  Undying  Magnus  Techies","nouns","Morphling  Doom  Disruptor  Timbersaw  Skywrath Mage","Team A"
"7182888817","15286","02 Jun 2023 07:00","2025","33:45","Team A","IVY","Beastmaster  Death Prophet  Pugna  Winter Wyvern  Void Spirit","BetBoom Team","Morphling  Storm Spirit  Bounty Hunter  Spirit Breaker  Keeper of the Light","Team B"
"7183916798","15383","03 Jun 2023 01:01","2718","45:18","Team A","PSG.LGD","Windranger  Witch Doctor  Faceless Void  Timbersaw  Techies","Xtreme Gaming","Morphling  Storm Spirit  Silencer  Rubick  Magnus","Team A"
"7184854997","15350","04 Jun 2023 12:18","1476","24:36","Team B","SAND KING GÓMEZ","Bloodseeker  Lion  Silencer  Magnus  Ember Spirit","TSM","Morphling  Batrider  Lone Druid  Undying  Elder Titan","Team B"
"7184935145","15269","04 Jun 2023 02:12","2008","33:28","Team B","noMERCY","Phantom Lancer  Windranger  Clockwerk  Underlord  Snapfire","Vivo Keyd Stars","Mirana  Morphling  Spirit Breaker  Treant Protector  Timbersaw","Team B"
"7185087645","15383","04 Jun 2023 05:59","2280","38:00","Team A","Azure Ray","Storm Spirit  Pugna  Dark Seer  Spirit Breaker  Naga Siren","Piggy Killer","Morphling  Windranger  Silencer  Timbersaw  Void Spirit","Team A"
"7185341586","15383","04 Jun 2023 10:10","2951","49:11","Team A","Xtreme Gaming","Tidehunter  Batrider  Naga Siren  Techies  Ember Spirit","INVICTUS GAMING","Morphling  Venomancer  Timbersaw  Underlord  Dark Willow","Team B"
"7185600107","15383","04 Jun 2023 01:25","2079","34:39","Team B","PSG.LGD","Crystal Maiden  Phantom Lancer  Magnus  Techies  Ember Spirit","Team Aster","Morphling  Spirit Breaker  Silencer  Keeper of the Light  Void Spirit","Team A"
"7186143438","15335","04 Jun 2023 07:01","2271","37:51","Team A","Virtus.pro","Storm Spirit  Lich  Slark  Magnus  Skywrath Mage","9Pandas","Morphling  Puck  Batrider  Undying  Timbersaw","Team B"
"7186379917","15365","04 Jun 2023 10:03","3281","54:41","Team A","Balrogs Esports™","Dark Seer  Batrider  Spirit Breaker  Slark  Oracle","Mad Kings Esports","Morphling  Clinkz  Omniknight  Invoker  Techies","Team B"
"7186668925","15383","05 Jun 2023 05:07","2721","45:21","Team A","Team Bright","Shadow Demon  Naga Siren  Keeper of the Light  Magnus  Pangolier","Aster.Aries","Morphling  Bounty Hunter  Techies  Void Spirit  Primal Beast","Team B"
"7186868834","15374","05 Jun 2023 10:03","2230","37:10","Team A","Execration","Phantom Lancer  Batrider  Spirit Breaker  Disruptor  Void Spirit","Blacklist Rivalry","Morphling  Tidehunter  Queen of Pain  Venomancer  Rubick","Team B"
"7186980004","15383","05 Jun 2023 12:06","2518","41:58","Team B","INVICTUS GAMING","Lich  Templar Assassin  Shadow Demon  Centaur Warrunner  Monkey King","Team Aster","Morphling  Doom  Techies  Phoenix  Void Spirit","Team B"
